5,63,6,74.125.158.60,172.16.162.138,80,42652,213962840,116224849,5
5,63,6,216.58.197.67,172.16.162.138,443,46564,778347804,3444508493,5
5,63,6,104.197.3.80,172.16.162.138,80,49569,2421593521,3966764145,8
5,63,6,104.197.3.80,172.16.162.138,80,49569,2421593522,3966764232,5
5,63,6,104.197.3.80,172.16.162.138,80,49569,2421593522,3966764232,5
5,63,6,104.197.3.80,172.16.162.138,80,49569,2421593740,3966764232,5
5,63,6,104.197.3.80,172.16.162.138,80,49569,2421593741,3966764233,5
5,64,6,127.0.0.1,127.0.0.1,51786,5000,734412063,0,10
5,64,6,127.0.0.1,127.0.0.1,5000,51786,2681751515,734412064,10
5,64,6,127.0.0.1,127.0.0.1,51786,5000,734412064,2681751516,8
5,64,6,127.0.0.1,127.0.0.1,51786,5000,734412064,2681751516,8
5,64,6,127.0.0.1,127.0.0.1,5000,51786,2681751516,734412596,8
5,63,6,216.58.197.67,172.16.162.138,443,46566,1921063746,673200143,5
